Sexo;Comunidades Autónomas;Días trabajados en el domicilio particular;Periodo;Total
Ambos sexos;Total Nacional;Total;2021;16.601,5
Ambos sexos;Total Nacional;Total;2020;16.103,8
Ambos sexos;Total Nacional;Total;2019;16.664,9
Ambos sexos;Total Nacional;Total;2018;16.215,8
Ambos sexos;Total Nacional;Total;2017;15.682,3
Ambos sexos;Total Nacional;Total;2016;15.282,4
Ambos sexos;Total Nacional;Total;2015;14.756,7
Ambos sexos;Total Nacional;Total;2014;14.232,8
Ambos sexos;Total Nacional;Total;2013;14.142,6
Ambos sexos;Total Nacional;Total;2012;14.623,1
Ambos sexos;Total Nacional;Total;2011;15.389,3
Ambos sexos;Total Nacional;Total;2010;15.566,6
Ambos sexos;Total Nacional;Total;2009;15.877,4
Ambos sexos;Total Nacional;Total;2008;16.827,5
Ambos sexos;Total Nacional;Total;2007;16.957,6
Ambos sexos;Total Nacional;Total;2006;16.378,1
Ambos sexos;Total Nacional;Ocasionalmente;2021;723,3
Ambos sexos;Total Nacional;Ocasionalmente;2020;442,2
Ambos sexos;Total Nacional;Ocasionalmente;2019;285,9
Ambos sexos;Total Nacional;Ocasionalmente;2018;241,9
Ambos sexos;Total Nacional;Ocasionalmente;2017;208,6
Ambos sexos;Total Nacional;Ocasionalmente;2016;157,9
Ambos sexos;Total Nacional;Ocasionalmente;2015;163,4
Ambos sexos;Total Nacional;Ocasionalmente;2014;138,2
Ambos sexos;Total Nacional;Ocasionalmente;2013;223,2
Ambos sexos;Total Nacional;Ocasionalmente;2012;162,5
Ambos sexos;Total Nacional;Ocasionalmente;2011;184,5
Ambos sexos;Total Nacional;Ocasionalmente;2010;161,2
Ambos sexos;Total Nacional;Ocasionalmente;2009;180,2
Ambos sexos;Total Nacional;Ocasionalmente;2008;153
Ambos sexos;Total Nacional;Ocasionalmente;2007;139,4
Ambos sexos;Total Nacional;Ocasionalmente;2006;133
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2021;1.295,5
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2020;1.508
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2019;413,7
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2018;331,9
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2017;332,1
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2016;269,8
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2015;250
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2014;317,4
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2013;330,1
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2012;377,4
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2011;347,9
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2010;320,9
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2009;251,2
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2008;249,8
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2007;206,9
Ambos sexos;Total Nacional;Más de la mitad de los días que trabajó;2006;183,3
Ambos sexos;Total Nacional;Ningún día;2021;14.438,8
Ambos sexos;Total Nacional;Ningún día;2020;13.863,2
Ambos sexos;Total Nacional;Ningún día;2019;15.767,4
Ambos sexos;Total Nacional;Ningún día;2018;15.454,3
Ambos sexos;Total Nacional;Ningún día;2017;14.963,8
Ambos sexos;Total Nacional;Ningún día;2016;14.710,6
Ambos sexos;Total Nacional;Ningún día;2015;14.197,4
Ambos sexos;Total Nacional;Ningún día;2014;13.618,5
Ambos sexos;Total Nacional;Ningún día;2013;13.430,9
Ambos sexos;Total Nacional;Ningún día;2012;13.931,7
Ambos sexos;Total Nacional;Ningún día;2011;14.731,7
Ambos sexos;Total Nacional;Ningún día;2010;14.975,5
Ambos sexos;Total Nacional;Ningún día;2009;15.333,1
Ambos sexos;Total Nacional;Ningún día;2008;16.330,8
Ambos sexos;Total Nacional;Ningún día;2007;16.501,1
Ambos sexos;Total Nacional;Ningún día;2006;15.955,9
Ambos sexos;Total Nacional;No sabe;2021;143,9
Ambos sexos;Total Nacional;No sabe;2020;290,4
Ambos sexos;Total Nacional;No sabe;2019;197,9
Ambos sexos;Total Nacional;No sabe;2018;187,7
Ambos sexos;Total Nacional;No sabe;2017;177,8
Ambos sexos;Total Nacional;No sabe;2016;144
Ambos sexos;Total Nacional;No sabe;2015;145,9
Ambos sexos;Total Nacional;No sabe;2014;158,7
Ambos sexos;Total Nacional;No sabe;2013;158,4
Ambos sexos;Total Nacional;No sabe;2012;151,5
Ambos sexos;Total Nacional;No sabe;2011;125,3
Ambos sexos;Total Nacional;No sabe;2010;109
Ambos sexos;Total Nacional;No sabe;2009;113
Ambos sexos;Total Nacional;No sabe;2008;93,8
Ambos sexos;Total Nacional;No sabe;2007;110,2
Ambos sexos;Total Nacional;No sabe;2006;106
Ambos sexos;01 Andalucía;Total;2021;2.581,7
Ambos sexos;01 Andalucía;Total;2020;2.466,8
Ambos sexos;01 Andalucía;Total;2019;2.585,6
Ambos sexos;01 Andalucía;Total;2018;2.492,1
Ambos sexos;01 Andalucía;Total;2017;2.409,3
Ambos sexos;01 Andalucía;Total;2016;2.333,8
Ambos sexos;01 Andalucía;Total;2015;2.254,1
Ambos sexos;01 Andalucía;Total;2014;2.141,9
Ambos sexos;01 Andalucía;Total;2013;2.070,8
Ambos sexos;01 Andalucía;Total;2012;2.174,4
Ambos sexos;01 Andalucía;Total;2011;2.356
Ambos sexos;01 Andalucía;Total;2010;2.354,4
Ambos sexos;01 Andalucía;Total;2009;2.396,4
Ambos sexos;01 Andalucía;Total;2008;2.620,6
Ambos sexos;01 Andalucía;Total;2007;2.626,6
Ambos sexos;01 Andalucía;Total;2006;2.556,5
Ambos sexos;01 Andalucía;Ocasionalmente;2021;90,4
Ambos sexos;01 Andalucía;Ocasionalmente;2020;39,3
Ambos sexos;01 Andalucía;Ocasionalmente;2019;30,5
Ambos sexos;01 Andalucía;Ocasionalmente;2018;26,5
Ambos sexos;01 Andalucía;Ocasionalmente;2017;23
Ambos sexos;01 Andalucía;Ocasionalmente;2016;17,8
Ambos sexos;01 Andalucía;Ocasionalmente;2015;18,1
Ambos sexos;01 Andalucía;Ocasionalmente;2014;17,8
Ambos sexos;01 Andalucía;Ocasionalmente;2013;22,5
Ambos sexos;01 Andalucía;Ocasionalmente;2012;18,1
Ambos sexos;01 Andalucía;Ocasionalmente;2011;26,5
Ambos sexos;01 Andalucía;Ocasionalmente;2010;26,2
Ambos sexos;01 Andalucía;Ocasionalmente;2009;33,6
Ambos sexos;01 Andalucía;Ocasionalmente;2008;24,9
Ambos sexos;01 Andalucía;Ocasionalmente;2007;28,5
Ambos sexos;01 Andalucía;Ocasionalmente;2006;23,9
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2021;141,5
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2020;159,3
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2019;59,7
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2018;52,2
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2017;59,3
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2016;50,1
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2015;42,3
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2014;63,3
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2013;50,9
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2012;65,2
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2011;67,3
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2010;66,3
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2009;48,1
Ambos sexos;01 Andalucía;Más de la mitad de los días que trabajó;2008;34
